freq_hz,target_mvrms,measured_mvrms,error_mvrms,amp_code,atten_db,iterations,pass_fail,reason
112700000,40.0,39.161300000000004,-0.8386999999999958,1023,19.0,1,PASS,within tolerance
112700000,50.0,50.2043,0.20430000000000348,959,16.5,1,PASS,within tolerance
112700000,60.0,60.789,0.7890000000000015,896,14.0,1,PASS,within tolerance
112700000,70.0,70.2899,0.28990000000000293,876,12.5,4,PASS,within tolerance
112700000,80.0,80.6776,0.6775999999999982,887,11.5,1,PASS,within tolerance
112700000,90.0,90.4557,0.4556999999999931,900,10.5,1,PASS,within tolerance
112700000,100.0,100.3423,0.3422999999999945,878,9.5,1,PASS,within tolerance
112800000,10.0,10.494200000000001,0.4942000000000011,1023,30.5,1,PASS,within tolerance
112800000,20.0,19.5415,-0.4585000000000008,1023,25.0,1,PASS,within tolerance
112800000,30.0,29.036800000000003,-0.963199999999997,1023,21.5,1,PASS,within tolerance
112800000,40.0,39.595400000000005,-0.40459999999999496,1023,19.0,5,PASS,within tolerance
112800000,50.0,50.0638,0.06380000000000052,959,16.5,1,PASS,within tolerance
112800000,60.0,60.5185,0.5185000000000031,896,14.0,1,PASS,within tolerance
112800000,70.0,70.7037,0.7036999999999978,876,12.5,1,PASS,within tolerance
112800000,80.0,79.17490000000001,-0.825099999999992,875,11.5,2,PASS,within tolerance
112800000,90.0,90.00450000000001,0.004500000000007276,884,10.5,2,PASS,within tolerance
112800000,100.0,99.97250000000001,-0.0274999999999892,878,9.5,1,PASS,within tolerance
112900000,10.0,10.5098,0.5098000000000003,1023,30.5,1,PASS,within tolerance
112900000,20.0,19.3161,-0.6839000000000013,1023,25.0,1,PASS,within tolerance
112900000,30.0,29.5846,-0.41540000000000177,1023,21.5,1,PASS,within tolerance
112900000,40.0,40.499100000000006,0.49910000000000565,1023,19.0,1,PASS,within tolerance
112900000,50.0,50.2223,0.22229999999999706,959,16.5,1,PASS,within tolerance
112900000,60.0,60.5145,0.5144999999999982,896,14.0,1,PASS,within tolerance
112900000,70.0,70.7976,0.7976000000000028,876,12.5,1,PASS,within tolerance
112900000,80.0,80.0723,0.07229999999999848,872,11.5,5,PASS,within tolerance
112900000,90.0,89.6348,-0.3652000000000015,884,10.5,1,PASS,within tolerance
112900000,100.0,100.755,0.7549999999999955,872,9.5,3,PASS,within tolerance
113000000,10.0,10.196800000000001,0.19680000000000142,1023,30.5,1,PASS,within tolerance
113000000,20.0,20.325599999999998,0.3255999999999979,1023,25.0,1,PASS,within tolerance
113000000,30.0,29.041500000000003,-0.9584999999999972,1023,21.5,1,PASS,within tolerance
113000000,40.0,39.177499999999995,-0.8225000000000051,1023,19.0,1,PASS,within tolerance
113000000,50.0,50.4021,0.40209999999999724,959,16.5,1,PASS,within tolerance
113000000,60.0,60.5097,0.5097000000000023,896,14.0,1,PASS,within tolerance
113000000,70.0,70.4981,0.49809999999999377,876,12.5,1,PASS,within tolerance
113000000,80.0,79.667,-0.3329999999999984,871,11.5,3,PASS,within tolerance
113000000,90.0,90.7347,0.7347000000000037,884,10.5,1,PASS,within tolerance
113000000,100.0,99.3638,-0.6362000000000023,860,9.5,2,PASS,within tolerance
113100000,10.0,10.7096,0.7096,1023,30.5,1,PASS,within tolerance
113100000,20.0,19.6607,-0.3393000000000015,1023,25.0,1,PASS,within tolerance
113100000,30.0,29.1859,-0.8140999999999998,1023,21.5,1,PASS,within tolerance
113100000,40.0,39.728300000000004,-0.2716999999999956,1023,19.0,1,PASS,within tolerance
113100000,50.0,50.7441,0.7441000000000031,959,16.5,1,PASS,within tolerance
113100000,60.0,60.3565,0.35649999999999693,896,14.0,1,PASS,within tolerance
113100000,70.0,69.601,-0.3990000000000009,862,12.5,2,PASS,within tolerance
113100000,80.0,79.2889,-0.7111000000000018,871,11.5,1,PASS,within tolerance
113100000,90.0,90.3455,0.34550000000000125,884,10.5,1,PASS,within tolerance
113100000,100.0,99.5488,-0.45120000000000005,860,9.5,1,PASS,within tolerance
113200000,10.0,9.1425,-0.8574999999999999,1023,30.5,1,PASS,within tolerance
113200000,20.0,19.886,-0.11400000000000077,1023,25.0,1,PASS,within tolerance
113200000,30.0,29.9695,-0.03049999999999997,1023,21.5,1,PASS,within tolerance
113200000,40.0,39.1866,-0.8134000000000015,1023,19.0,1,PASS,within tolerance
113200000,50.0,49.3503,-0.6497000000000028,935,16.5,2,PASS,within tolerance
113200000,60.0,59.355,-0.6450000000000031,877,14.0,2,PASS,within tolerance
113200000,70.0,69.2487,-0.7513000000000005,862,12.5,1,PASS,within tolerance
113200000,80.0,79.9293,-0.0707000000000022,871,11.5,1,PASS,within tolerance
113200000,90.0,89.48589999999999,-0.5141000000000133,884,10.5,1,PASS,within tolerance
113200000,100.0,100.8536,0.8536000000000001,860,9.5,1,PASS,within tolerance
113300000,10.0,9.5525,-0.4474999999999998,1023,30.5,1,PASS,within tolerance
